Wall time,Step,Value
1579532879.2507787,4800,-125.66949462890625
1579532879.7873585,6400,-501.105224609375
1579532880.9016297,9600,-132.5694122314453
1579532880.9018347,9600,-244.4766082763672
1579532880.9021049,9600,-3.70704984664917
1579532882.0047493,12800,-363.704345703125
1579532882.554236,14400,-1021.0054931640625
1579532883.117952,16000,-129.71470642089844
1579532884.2243807,19200,-130.80462646484375
1579532885.3264277,22400,-360.54864501953125
1579532886.4185412,25600,-250.27578735351562
1579532888.6219573,32000,-514.7130126953125
1579532888.6222188,32000,-503.45013427734375
1579532889.174938,33600,-758.6286010742188
1579532890.2921758,36800,-201.64227294921875
1579532890.8607352,38400,-766.3151245117188
1579532893.633755,46400,-1208.0653076171875
1579532894.1902833,48000,-1063.004150390625
1579532895.310185,51200,-70.85395050048828
1579532895.3108642,51200,-261.0694885253906
1579532895.8686702,52800,-909.85498046875
1579532896.4296868,54400,-929.6152954101562
1579532896.9994836,56000,-122.95597839355469
1579532899.1820624,62400,-1001.0330810546875
1579532899.182229,62400,-1155.70947265625
1579532899.730758,64000,-257.80126953125
1579532901.390277,68800,-510.3945617675781
1579532901.949067,70400,-502.3997802734375
1579532903.0647342,73600,-383.47027587890625
1579532906.9561524,84800,-495.5918884277344
1579532906.9562407,84800,-370.6771545410156
1579532908.0691178,88000,-243.75926208496094
1579532908.6316235,89600,-254.64114379882812
1579532908.631894,89600,-256.3305969238281
1579532909.7526155,92800,-127.73619842529297
1579532909.7529535,92800,-127.51972198486328
1579532910.3216197,94400,-251.10601806640625
1579532910.8759072,96000,-239.96151733398438
1579532911.9782941,99200,-128.97390747070312
1579532913.6448216,104000,-130.55364990234375
1579532914.7564576,107200,-131.01480102539062
1579532915.3071916,108800,-254.71707153320312
1579532916.9821217,113600,-134.72412109375
1579532917.5475256,115200,-5.8824567794799805
1579532918.1158292,116800,-377.3324279785156
1579532918.6632926,118400,-377.2508544921875
1579532918.6633828,118400,-252.07949829101562
1579532920.8808286,124800,-2.0354387760162354
1579532920.8810022,124800,-2.2802345752716064
1579532921.9921088,128000,-256.6221008300781
1579532922.5306423,129600,-129.01976013183594
1579532922.530769,129600,-128.7071990966797
1579532922.531008,129600,-128.21902465820312
1579532922.5313547,129600,-128.7623291015625
1579532923.082852,131200,-128.84556579589844
1579532923.649895,132800,-3.156440258026123
1579532924.1922424,134400,-251.4601287841797
1579532927.492107,144000,-3.181417226791382
1579532928.0292675,145600,-129.22640991210938
1579532928.5755782,147200,-134.6298370361328
1579532929.1321669,148800,-129.37718200683594
1579532930.2179964,152000,-255.08016967773438
1579532930.2183645,152000,-260.61541748046875
1579532930.7713904,153600,-491.3813171386719
1579532931.320919,155200,-3.2578468322753906
1579532931.3211122,155200,-3.2283754348754883
1579532931.321321,155200,-3.251617670059204
1579532931.8715355,156800,-126.42385864257812
1579532932.4186034,158400,-255.95970153808594
1579532932.4187517,158400,-260.1045227050781
1579532932.9796023,160000,-1.9604651927947998
1579532932.9797933,160000,-2.1634411811828613
1579532932.9801264,160000,-2.19974946975708
1579532933.5266628,161600,-389.2745361328125
1579532934.0786414,163200,-672.0045166015625
1579532934.078747,163200,-404.1759338378906
1579532935.7418134,168000,-1061.1566162109375
1579532935.7421937,168000,-940.0471801757812
1579532937.9265578,174400,-1.1022140979766846
1579532938.5008652,176000,-1077.05810546875
1579532939.0665612,177600,-1214.309326171875
1579532940.1691117,180800,-795.5973510742188
1579532940.169509,180800,-935.1671142578125
1579532940.725452,182400,-3.285186290740967
1579532940.7255986,182400,-3.407444477081299
1579532941.2887821,184000,-267.6029052734375
1579532942.4030073,187200,-1056.2083740234375
1579532942.4031003,187200,-1062.8287353515625
1579532942.958688,188800,-266.9964294433594
1579532943.507657,190400,-987.7088623046875
1579532944.055827,192000,-3.990818738937378
1579532944.617258,193600,-806.4323120117188
1579532945.164175,195200,-967.7018432617188
1579532945.1642478,195200,-1085.548583984375
1579532945.7168403,196800,-931.9500122070312
1579532945.716932,196800,-540.6055297851562
1579532946.273873,198400,-5.69863224029541
1579532947.391989,201600,-0.8311493396759033
1579532947.392218,201600,-0.9098800420761108
1579532947.9663827,203200,-409.7248840332031
1579532950.1737697,209600,-395.50201416015625
1579532951.2774613,212800,-393.75445556640625
1579532951.2779105,212800,-398.1288146972656
1579532951.8265116,214400,-262.570068359375
1579532951.8266907,214400,-265.2621154785156
1579532952.386019,216000,-130.10618591308594
1579532952.3865561,216000,-130.29751586914062
1579532952.933555,217600,-125.87423706054688
1579532953.4804657,219200,-269.4306945800781
1579532954.0356112,220800,-262.664306640625
1579532954.591675,222400,-554.0521850585938
1579532955.1374366,224000,-408.5738220214844
1579532957.9235597,232000,-322.0257568359375
1579532958.4852393,233600,-1105.16455078125
1579532958.4853668,233600,-1082.270751953125
1579532958.485458,233600,-1078.048828125
1579532959.5848856,236800,-134.9072265625
1579532960.6897864,240000,-1074.653076171875
1579532961.2499802,241600,-2.2292940616607666
1579532963.470192,248000,-5.910945892333984
1579532964.022657,249600,-928.1082763671875
1579532964.5702639,251200,-278.97607421875
1579532965.121394,252800,-967.4627075195312
1579532965.1216486,252800,-294.6072998046875
1579532966.7783225,257600,-1256.05322265625
1579532966.779028,257600,-1261.137451171875
1579532967.3429267,259200,-1297.3155517578125
