Wall time,Step,Value
1579534070.8819199,4800,-1251.753662109375
1579534071.476151,6400,-890.4740600585938
1579534072.730361,9600,-1163.791748046875
1579534072.7305617,9600,-1173.2034912109375
1579534072.7308044,9600,-755.1741333007812
1579534073.9824638,12800,-995.5225830078125
1579534074.579234,14400,-1524.946533203125
1579534075.1430972,16000,-863.1292724609375
1579534076.3168,19200,-1424.3226318359375
1579534077.4577134,22400,-1339.7681884765625
1579534078.6056597,25600,-1036.4390869140625
1579534081.0234253,32000,-1211.422119140625
1579534081.0236928,32000,-857.7534790039062
1579534081.6118252,33600,-1561.12548828125
1579534082.6663795,36800,-1374.7685546875
1579534083.2123842,38400,-1617.16455078125
1579534086.238021,46400,-1827.658203125
1579534086.7925503,48000,-1824.8453369140625
1579534087.9788587,51200,-1834.9619140625
1579534087.9795496,51200,-1844.1666259765625
1579534088.617329,52800,-1673.833740234375
1579534089.2877426,54400,-1632.46923828125
1579534089.902142,56000,-1718.7720947265625
1579534092.6067348,62400,-1562.6650390625
1579534092.6068976,62400,-1503.4747314453125
1579534093.2444897,64000,-1412.5218505859375
1579534095.5203307,68800,-1289.580078125
1579534096.180061,70400,-1870.68994140625
1579534097.5805547,73600,-972.6539306640625
1579534101.9718592,84800,-1817.4527587890625
1579534101.9719284,84800,-1775.0369873046875
1579534103.370364,88000,-978.1544799804688
1579534103.9851995,89600,-1615.1051025390625
1579534103.9854853,89600,-1599.4105224609375
1579534105.2745214,92800,-1693.9385986328125
1579534105.2747893,92800,-1761.609619140625
1579534105.865654,94400,-1567.9097900390625
1579534106.5112991,96000,-1824.409423828125
1579534107.8407063,99200,-1408.151123046875
1579534110.043561,104000,-1212.08935546875
1579534111.3572552,107200,-1078.972900390625
1579534111.9335501,108800,-1026.976806640625
1579534113.7457,113600,-1805.733154296875
1579534114.3222406,115200,-1618.6080322265625
1579534114.9606152,116800,-1415.4404296875
1579534115.508245,118400,-1665.4847412109375
1579534115.5083485,118400,-1599.8792724609375
1579534118.2710097,124800,-1523.6611328125
1579534118.2711465,124800,-1252.2738037109375
1579534119.514106,128000,-1487.8580322265625
1579534120.101238,129600,-1388.1307373046875
1579534120.101383,129600,-1339.484130859375
1579534120.1015303,129600,-1391.5159912109375
1579534120.10174,129600,-1149.141845703125
1579534120.633475,131200,-1339.4879150390625
1579534121.1283169,132800,-1695.92138671875
1579534121.6620402,134400,-1057.5758056640625
1579534125.1254847,144000,-1852.3511962890625
1579534125.670933,145600,-1690.744140625
1579534126.23928,147200,-1112.97314453125
1579534126.813691,148800,-823.5164184570312
1579534127.9142606,152000,-1237.3658447265625
1579534127.9146051,152000,-1711.0843505859375
1579534128.4880254,153600,-1364.5126953125
1579534129.0534978,155200,-1460.1065673828125
1579534129.0537302,155200,-1397.9642333984375
1579534129.053948,155200,-1463.59765625
1579534129.6441572,156800,-1510.6787109375
1579534130.2506933,158400,-1580.0672607421875
1579534130.2508938,158400,-1564.3323974609375
1579534130.8636456,160000,-1525.5780029296875
1579534130.8638997,160000,-1501.3636474609375
1579534130.864272,160000,-1524.5302734375
1579534131.4517894,161600,-1417.83544921875
1579534132.0451086,163200,-1506.6341552734375
1579534132.0452209,163200,-1490.8309326171875
1579534133.8979003,168000,-1463.215087890625
1579534133.8983097,168000,-1377.0211181640625
1579534136.4970033,174400,-1346.859375
1579534137.101079,176000,-1480.184814453125
1579534137.6751592,177600,-1466.140380859375
1579534138.892787,180800,-1427.50048828125
1579534138.893153,180800,-1421.1685791015625
1579534139.480848,182400,-1179.960693359375
1579534139.4810627,182400,-1114.34423828125
1579534140.0478039,184000,-1405.2720947265625
1579534141.1576223,187200,-1215.5003662109375
1579534141.1577027,187200,-1358.96875
1579534141.733273,188800,-1021.5457763671875
1579534142.2698228,190400,-1054.108154296875
1579534142.8007557,192000,-1014.0234985351562
1579534143.3482404,193600,-1285.3314208984375
1579534143.9181876,195200,-1489.1949462890625
1579534143.9182928,195200,-1408.2540283203125
1579534144.4876618,196800,-1351.5032958984375
1579534144.4877493,196800,-1353.1524658203125
1579534145.1272633,198400,-1395.3311767578125
1579534146.261625,201600,-1233.1182861328125
1579534146.261853,201600,-1241.03125
1579534146.829152,203200,-1350.8995361328125
1579534149.293882,209600,-1389.4061279296875
1579534150.5009184,212800,-1329.333251953125
1579534150.5014586,212800,-1377.745849609375
1579534151.1009948,214400,-1359.422119140625
1579534151.1012251,214400,-1410.2213134765625
1579534151.6617577,216000,-1404.9822998046875
1579534151.6622772,216000,-1434.023193359375
1579534152.2459655,217600,-1081.518798828125
1579534152.8280597,219200,-1064.3817138671875
1579534153.391755,220800,-1210.4342041015625
1579534153.9700112,222400,-1494.99462890625
1579534154.5313745,224000,-1462.7750244140625
1579534157.4984381,232000,-1395.306640625
1579534158.0351403,233600,-1215.0780029296875
1579534158.0352447,233600,-1091.0968017578125
1579534158.0353372,233600,-1228.45947265625
1579534159.1173487,236800,-933.7487182617188
1579534160.4214046,240000,-1175.2286376953125
1579534160.987226,241600,-1220.9296875
1579534163.3690512,248000,-1421.064453125
1579534163.9051294,249600,-1520.83935546875
1579534164.4787319,251200,-1234.091552734375
1579534165.0441587,252800,-1380.14697265625
1579534165.0443678,252800,-1416.114501953125
1579534166.754366,257600,-1153.590087890625
1579534166.7550604,257600,-1279.901123046875
1579534167.3165677,259200,-1145.4818115234375
1579534167.9233718,260800,-1171.0836181640625
1579534169.0461266,264000,-980.0008544921875
1579534169.0463543,264000,-1139.328125
1579534170.14824,267200,-1004.5528564453125
1579534170.1484504,267200,-1096.2059326171875
1579534170.7439632,268800,-1311.0836181640625
1579534170.7440548,268800,-1256.4974365234375
1579534174.122587,278400,-1215.697021484375
1579534174.1228673,278400,-1347.2086181640625
1579534174.123089,278400,-1094.193115234375
1579534174.675635,280000,-1439.3271484375
1579534175.8076797,283200,-1272.170166015625
1579534176.919521,286400,-1142.552978515625
1579534177.499303,288000,-1088.436767578125
1579534178.043946,289600,-1277.72900390625
1579534179.7395108,294400,-1378.5145263671875
1579534179.7395866,294400,-1405.844970703125
1579534180.2766457,296000,-1099.4083251953125
1579534180.8235693,297600,-936.31982421875
1579534181.4166374,299200,-1325.32470703125
1579534181.4168088,299200,-1365.18505859375
1579534183.8157387,305600,-1103.6702880859375
1579534183.816064,305600,-981.9945678710938
1579534186.1451375,312000,-1033.7427978515625
1579534187.3102322,315200,-1437.0821533203125
1579534187.310356,315200,-1417.6318359375
1579534188.447652,318400,-1241.126708984375
1579534188.4479864,318400,-1216.64697265625
1579534189.5633502,321600,-1383.95556640625
1579534189.563441,321600,-1388.0001220703125
1579534191.2645988,326400,-662.084228515625
1579534191.898063,328000,-1033.1280517578125
1579534191.8985956,328000,-1067.326416015625
1579534192.4724677,329600,-840.4358520507812
1579534192.472856,329600,-533.6082153320312
1579534193.007878,331200,-1136.2537841796875
1579534193.6047382,332800,-935.3317260742188
1579534194.2002912,334400,-1207.2469482421875
1579534194.7634776,336000,-1281.546142578125
1579534195.3125787,337600,-1253.641845703125
1579534195.9331405,339200,-1402.6265869140625
1579534195.9336033,339200,-1368.524658203125
1579534196.5465345,340800,-1123.652587890625
1579534196.5467207,340800,-903.6064453125
1579534196.546943,340800,-1202.2156982421875
1579534197.1231232,342400,-931.3574829101562
1579534197.7357013,344000,-953.552734375
1579534198.8758538,347200,-1014.1576538085938
1579534198.8761861,347200,-944.1116333007812
1579534198.8763244,347200,-988.0789184570312
1579534199.4583266,348800,-655.2513427734375
1579534199.4587903,348800,-916.5115966796875
1579534200.0311167,350400,-1024.1646728515625
1579534200.0312004,350400,-815.6162109375
1579534201.1432717,353600,-1261.83251953125
1579534201.7350864,355200,-1394.173828125
1579534202.4073527,356800,-1229.5015869140625
1579534203.0154579,358400,-1061.024658203125
1579534203.015531,358400,-1052.32177734375
1579534203.6627364,360000,-733.7774047851562
1579534204.2685466,361600,-1164.507080078125
1579534206.1259212,366400,-1195.7081298828125
1579534206.126425,366400,-1114.1300048828125
1579534207.2727396,369600,-1018.628173828125
1579534207.2731538,369600,-1068.6427001953125
1579534207.9392638,371200,-933.2149658203125
1579534209.2048109,374400,-791.1492919921875
1579534209.20504,374400,-787.38330078125
1579534209.8216329,376000,-1099.225830078125
1579534209.8217926,376000,-1162.5557861328125
1579534212.2077165,382400,-783.1761474609375
1579534212.8159716,384000,-960.3185424804688
1579534214.0093813,387200,-1333.0343017578125
1579534215.2825322,390400,-1010.5831909179688
1579534215.2827628,390400,-877.0785522460938
1579534215.2828972,390400,-1013.328125
1579534216.559742,393600,-1217.8031005859375
1579534217.820155,396800,-1294.9423828125
1579534217.820297,396800,-1201.2430419921875
1579534219.7919173,401600,-916.128173828125
1579534219.7922828,401600,-689.0584716796875
1579534220.4019268,403200,-948.0576171875
1579534221.7193046,406400,-1250.476806640625
1579534222.3139656,408000,-1231.7176513671875
1579534224.0291512,412800,-1089.5159912109375
1579534225.1538796,416000,-958.4574584960938
1579534225.1541734,416000,-928.914306640625
1579534225.15427,416000,-656.9185791015625
1579534225.154456,416000,-681.810791015625
1579534225.7184067,417600,-668.4163818359375
1579534225.7187145,417600,-679.7582397460938
1579534226.2907588,419200,-907.3316650390625
1579534226.8780148,420800,-1142.32080078125
1579534227.4481015,422400,-1272.912109375
1579534230.401564,430400,-905.86328125
1579534230.4018447,430400,-881.7886962890625
1579534231.0137603,432000,-947.02587890625
1579534231.5893266,433600,-1241.1998291015625
1579534232.7711458,436800,-1363.861328125
1579534233.3342705,438400,-816.9766235351562
1579534233.334437,438400,-788.681640625
1579534233.3345807,438400,-544.791015625
1579534233.9614513,440000,-717.0526733398438
1579534233.9616568,440000,-904.1061401367188
1579534234.5610514,441600,-542.5338745117188
1579534235.237893,443200,-820.1983032226562
1579534236.4921083,446400,-1217.548095703125
1579534237.1753848,448000,-1006.5697021484375
1579534237.175474,448000,-789.8493041992188
1579534237.1756518,448000,-750.2009887695312
1579534237.8027022,449600,-811.5258178710938
1579534237.8030465,449600,-767.3702392578125
1579534237.8031366,449600,-861.6161499023438
1579534238.428638,451200,-737.0716552734375
1579534239.0313377,452800,-550.3644409179688
1579534239.0317163,452800,-797.5582275390625
1579534240.813993,457600,-683.2448120117188
1579534241.4383395,459200,-802.3794555664062
1579534241.97638,460800,-1005.4697875976562
1579534241.9767976,460800,-819.998046875
1579534242.6213393,462400,-824.2301635742188
1579534243.2208047,464000,-1167.3045654296875
1579534243.7735987,465600,-1182.95068359375
1579534245.6995528,470400,-556.4258422851562
1579534246.2499602,472000,-1047.5194091796875
1579534248.7145488,478400,-946.4370727539062
1579534248.7146287,478400,-922.86083984375
1579534249.3038085,480000,-933.4769287109375
1579534252.136243,488000,-806.4964599609375
1579534252.6883028,489600,-1077.84130859375
1579534253.2431176,491200,-814.7742919921875
1579534253.243255,491200,-780.94140625
1579534253.243391,491200,-1014.4387817382812
1579534253.795501,492800,-803.06201171875
1579534255.5348828,497600,-1117.6849365234375
1579534255.53497,497600,-848.8319702148438
1579534256.6878004,500800,-1168.9866943359375
1579534256.6880083,500800,-1062.517822265625
1579534256.6884654,500800,-1221.431884765625
1579534257.8482826,504000,-789.61962890625
1579534258.4138517,505600,-787.220458984375
1579534258.9776707,507200,-964.076904296875
1579534260.0536008,510400,-767.8694458007812
1579534260.0538807,510400,-961.2236938476562
1579534260.5849497,512000,-1493.246337890625
1579534262.3303192,516800,-1086.38623046875
1579534262.904186,518400,-668.6160278320312
1579534264.0329254,521600,-1092.3948974609375
1579534264.0335245,521600,-1207.275634765625
1579534265.1917067,524800,-942.72119140625
1579534265.762616,526400,-591.8499145507812
1579534265.7627082,526400,-845.7737426757812
1579534266.883036,529600,-676.1868896484375
1579534267.4449975,531200,-797.7478637695312
1579534267.445397,531200,-676.1714477539062
1579534269.1515915,536000,-541.5077514648438
1579534269.7422502,537600,-692.133544921875
1579534270.2627466,539200,-1491.2816162109375
1579534270.7671003,540800,-970.578369140625
1579534271.2405493,542400,-1502.850830078125
1579534272.5222723,545600,-1497.1553955078125
1579534273.6502905,548800,-1074.9354248046875
1579534273.6505492,548800,-943.7081909179688
1579534274.8499837,552000,-538.166259765625
1579534277.2087128,558400,-1208.0826416015625
1579534277.2087853,558400,-1236.508056640625
1579534277.2088568,558400,-1295.9127197265625
1579534279.037371,563200,-1100.180908203125
1579534280.2234125,566400,-978.2561645507812
1579534283.6186655,576000,-1506.3330078125
1579534284.1565723,577600,-1229.2529296875
1579534284.7096884,579200,-1515.3399658203125
1579534285.2790558,580800,-410.5469055175781
1579534286.4010386,584000,-1.413587212562561
1579534286.401201,584000,-1.294543743133545
1579534286.974054,585600,-1463.3643798828125
1579534289.8775034,593600,-136.5825653076172
1579534290.4666264,595200,-1147.2587890625
1579534292.174758,600000,-710.56787109375
1579534292.7411852,601600,-1221.4742431640625
1579534293.3275578,603200,-1449.076904296875
1579534293.3279173,603200,-1450.6907958984375
1579534294.4598486,606400,-139.82208251953125
1579534294.4601185,606400,-140.72645568847656
1579534295.0509975,608000,-1139.641357421875
1579534295.6354444,609600,-809.97607421875
1579534297.4620543,614400,-1.0906577110290527
1579534297.462393,614400,-1.6478545665740967
1579534297.4625604,614400,-1.4000176191329956
1579534299.8277848,620800,-135.14907836914062
1579534301.6428282,625600,-1523.2230224609375
1579534302.8242705,628800,-1094.1241455078125
1579534303.396677,630400,-1.2427334785461426
1579534303.3971457,630400,-1.4575074911117554
1579534304.010179,632000,-1499.422607421875
1579534304.5853264,633600,-1495.95751953125
1579534305.7343938,636800,-1495.887451171875
1579534306.9689543,640000,-1506.753662109375
1579534306.9690576,640000,-1506.86572265625
1579534307.6570268,641600,-846.3818359375
1579534307.657272,641600,-938.5685424804688
1579534309.340243,646400,-822.6087646484375
1579534309.8899455,648000,-138.6317901611328
1579534310.4631276,649600,-129.301025390625
1579534310.4636564,649600,-130.16604614257812
1579534310.4637904,649600,-129.33816528320312
1579534310.4640057,649600,-129.0441131591797
1579534310.464105,649600,-129.08302307128906
1579534312.8113723,656000,-1.5645591020584106
1579534313.4798355,657600,-909.2727661132812
1579534315.3534005,662400,-418.9271545410156
1579534316.0325012,664000,-444.0158996582031
1579534316.6922514,665600,-1519.8074951171875
1579534317.2832527,667200,-2.127182722091675
1579534318.4103289,670400,-1494.9847412109375
1579534320.1257305,675200,-1.2000640630722046
1579534320.7352412,676800,-536.3408813476562
1579534321.3330355,678400,-1504.7626953125
1579534322.519477,681600,-399.7707824707031
1579534323.0752687,683200,-679.16552734375
1579534324.1586342,686400,-271.6502685546875
1579534324.7456636,688000,-1217.9178466796875
1579534325.810613,691200,-1491.9512939453125
1579534325.8107688,691200,-1491.9512939453125
1579534326.352775,692800,-1498.7998046875
1579534326.8881717,694400,-3.672487258911133
1579534326.8887367,694400,-2.8082540035247803
1579534327.3962042,696000,-1.8022581338882446
1579534327.9447227,697600,-132.57948303222656
1579534329.0906188,700800,-1139.451171875
1579534329.6820698,702400,-1421.146240234375
1579534330.256531,704000,-1098.6497802734375
1579534330.2570896,704000,-265.1360168457031
1579534331.3899088,707200,-1351.9276123046875
1579534331.9821808,708800,-2.235023021697998
1579534331.9826484,708800,-1.9639043807983398
1579534332.5329027,710400,-1493.8035888671875
1579534333.6357877,713600,-555.1396484375
1579534334.751107,716800,-269.19281005859375
1579534336.3800128,721600,-2.339151620864868
1579534337.5334766,724800,-1256.375244140625
1579534337.5336635,724800,-422.9224853515625
1579534337.5338023,724800,-1253.0208740234375
1579534338.0466483,726400,-1148.44189453125
1579534338.046883,726400,-1122.7432861328125
1579534339.162495,729600,-1496.425048828125
1579534340.306561,732800,-873.3046875
1579534340.8389707,734400,-136.6641082763672
1579534342.9735851,740800,-1183.866455078125
1579534342.9737513,740800,-418.42474365234375
1579534344.5699594,745600,-398.49200439453125
1579534345.1171238,747200,-261.5028381347656
1579534345.117302,747200,-263.29864501953125
1579534345.6332603,748800,-129.1643829345703
1579534345.6335545,748800,-127.52442932128906
1579534345.6337256,748800,-128.94326782226562
1579534346.7061317,752000,-0.8839858770370483
1579534346.706926,752000,-0.9099373817443848
1579534347.8370023,755200,-1390.03125
1579534348.399872,756800,-1497.9183349609375
1579534349.504058,760000,-1.9066671133041382
1579534349.5042448,760000,-1.831764817237854
1579534349.5044856,760000,-1.7695846557617188
1579534350.5811965,763200,-1493.1849365234375
1579534351.094729,764800,-1547.40380859375
1579534351.094903,764800,-1550.43896484375
1579534351.6621444,766400,-1517.3565673828125
1579534352.2355762,768000,-1475.2750244140625
1579534354.5611331,774400,-1481.505859375
1579534354.5616794,774400,-1481.1663818359375
1579534355.1303287,776000,-1596.2432861328125
1579534358.7458496,785600,-1574.9315185546875
1579534359.3087792,787200,-1426.71875
1579534359.309429,787200,-1443.2435302734375
1579534359.8756437,788800,-140.45108032226562
1579534360.4733353,790400,-407.953125
1579534361.0821161,792000,-1510.8173828125
1579534361.6925526,793600,-0.7874483466148376
1579534363.5057514,798400,-0.9647309184074402
1579534364.1178758,800000,-1003.2247924804688
1579534364.7313042,801600,-1179.036376953125
1579534365.3194644,803200,-687.9338989257812
1579534365.3196929,803200,-682.7965087890625
1579534365.9586222,804800,-130.95687866210938
1579534367.3340561,808000,-266.6502685546875
1579534367.3342912,808000,-266.9796142578125
1579534368.0177817,809600,-1.2294940948486328
1579534371.7661605,819200,-1474.8345947265625
1579534372.335253,820800,-1503.330810546875
1579534372.3353415,820800,-1503.330810546875
1579534372.8713942,822400,-653.7159423828125
1579534377.9685495,836800,-531.5586547851562
1579534379.1211624,840000,-552.9649658203125
1579534379.1212492,840000,-548.350830078125
1579534379.1216097,840000,-818.2260131835938
1579534379.1217852,840000,-550.1065673828125
1579534379.6433496,841600,-265.5719909667969
1579534379.6434507,841600,-264.7154235839844
1579534381.3206804,846400,-980.9398803710938
1579534381.9541543,848000,-131.64942932128906
1579534381.954502,848000,-131.85186767578125
1579534382.579095,849600,-565.5677490234375
1579534383.1790817,851200,-801.940673828125
1579534383.7885,852800,-1498.2012939453125
1579534384.3815913,854400,-1216.87744140625
1579534384.3816893,854400,-1185.5631103515625
1579534385.5678303,857600,-400.26806640625
1579534386.738354,860800,-610.62939453125
1579534387.346215,862400,-1.6904877424240112
1579534387.3466976,862400,-1.6819320917129517
1579534387.921978,864000,-265.1802062988281
1579534387.9221277,864000,-264.7451477050781
1579534389.040779,867200,-1505.6888427734375
1579534389.0411448,867200,-1505.6888427734375
1579534389.6143308,868800,-957.6207275390625
1579534391.8227935,875200,-939.9786987304688
1579534392.3643136,876800,-793.1226806640625
1579534393.4762788,880000,-132.42752075195312
1579534394.05008,881600,-0.9891911745071411
1579534394.050628,881600,-1.082481861114502
1579534394.5926313,883200,-268.3083190917969
1579534394.5927174,883200,-269.27606201171875
1579534395.7475548,886400,-414.3628845214844
1579534396.3381996,888000,-1.467283010482788
1579534398.6823864,894400,-1493.604736328125
1579534399.1881666,896000,-2.1898276805877686
1579534400.3634365,899200,-677.43896484375
1579534400.3636508,899200,-545.0225219726562
1579534401.5630102,902400,-0.5939754843711853
1579534401.5630994,902400,-0.47653713822364807
1579534403.2665308,907200,-401.02197265625
1579534403.2666202,907200,-398.44818115234375
1579534403.2668705,907200,-403.60345458984375
1579534403.7470593,908800,-1354.1915283203125
1579534404.837157,912000,-740.3045043945312
1579534406.4913085,916800,-629.0428466796875
1579534406.4915247,916800,-628.885009765625
1579534407.6492429,920000,-271.7386474609375
1579534407.6497343,920000,-268.56585693359375
1579534407.649896,920000,-270.7369079589844
1579534407.6500623,920000,-268.86175537109375
1579534408.8992994,923200,-1249.57177734375
1579534410.099765,926400,-130.479248046875
1579534411.9532228,931200,-409.1847229003906
1579534412.5576384,932800,-393.6137390136719
1579534413.135002,934400,-767.52001953125
1579534413.135383,934400,-611.4662475585938
1579534413.702475,936000,-0.6150038838386536
1579534413.7025669,936000,-0.5652424693107605
1579534413.7026584,936000,-0.5033307075500488
1579534414.2618914,937600,-129.79180908203125
1579534416.5341644,944000,-520.1695556640625
1579534416.5345945,944000,-391.6102600097656
1579534417.5986116,947200,-3.593329429626465
1579534418.6652591,950400,-1503.140625
1579534418.6655834,950400,-1503.140625
1579534418.6656535,950400,-1503.140625
1579534419.1798265,952000,-0.43090710043907166
1579534419.7091625,953600,-422.048095703125
1579534419.7094479,953600,-424.822509765625
1579534420.917026,956800,-269.75628662109375
1579534420.917633,956800,-269.4083557128906
1579534421.5543733,958400,-1344.5294189453125
1579534421.554447,958400,-1319.3577880859375
1579534422.176241,960000,-522.4891967773438
1579534422.7806857,961600,-267.055908203125
1579534422.7809527,961600,-263.5422058105469
1579534422.781261,961600,-135.9552001953125
1579534425.9064493,969600,-1494.881103515625
1579534426.5177464,971200,-129.1774139404297
1579534427.7444584,974400,-261.5218505859375
1579534428.4216814,976000,-265.5728454589844
1579534429.6156616,979200,-263.9538269042969
1579534431.4669645,984000,-428.5307922363281
1579534433.1269073,988800,-805.793701171875
1579534433.1271942,988800,-937.195068359375
1579534434.1147683,992000,-446.0992126464844
1579534434.6719878,993600,-1495.65869140625
1579534435.1999953,995200,-274.3548278808594
1579534435.2002604,995200,-273.82855224609375
1579534435.753948,996800,-405.70379638671875
1579534435.754073,996800,-414.3202819824219
1579534438.541948,1004800,-0.246418297290802
1579534439.094813,1006400,-1494.562255859375
1579534439.095145,1006400,-1494.562255859375
1579534439.6617546,1008000,-0.23130260407924652
1579534440.7745817,1011200,-262.8255615234375
1579534440.7747633,1011200,-528.0941162109375
1579534440.7748501,1011200,-526.5740356445312
1579534441.3268347,1012800,-515.659423828125
1579534442.4362326,1016000,-397.07379150390625
1579534444.0783823,1020800,-967.693115234375
1579534444.6192358,1022400,-283.8925476074219
1579534445.7125316,1025600,-283.2737731933594
1579534446.256069,1027200,-128.7258758544922
1579534446.2566178,1027200,-129.0970001220703
1579534448.4752717,1033600,-130.2860870361328
1579534448.4757628,1033600,-130.1728515625
1579534449.5841506,1036800,-527.3560791015625
1579534451.2844405,1041600,-2.5024986267089844
1579534451.853716,1043200,-277.6479187011719
1579534452.957617,1046400,-128.70263671875
1579534453.5117323,1048000,-859.1209106445312
1579534453.5120559,1048000,-874.0707397460938
1579534454.054673,1049600,-1491.7882080078125
1579534455.710627,1054400,-417.09002685546875
1579534457.4038281,1059200,-1.4093469381332397
1579534459.102742,1064000,-1031.1993408203125
1579534460.2024024,1067200,-1497.2803955078125
1579534461.367733,1070400,-614.1898193359375
1579534461.9198296,1072000,-1318.9029541015625
1579534462.4784822,1073600,-2.5676937103271484
1579534463.6667507,1076800,-417.9930114746094
1579534465.3864608,1081600,-1494.0819091796875
1579534466.5315552,1084800,-392.4383544921875
1579534467.662862,1088000,-259.97113037109375
1579534468.1716974,1089600,-131.1697235107422
1579534468.172124,1089600,-131.61920166015625
1579534470.9125645,1097600,-297.2490539550781
1579534471.4802597,1099200,-134.38430786132812
1579534471.480532,1099200,-134.93194580078125
1579534472.033129,1100800,-140.2540283203125
1579534472.544606,1102400,-518.402587890625
1579534473.0737035,1104000,-406.0492248535156
1579534473.0739548,1104000,-407.1012268066406
1579534473.0740972,1104000,-407.20770263671875
1579534474.775803,1108800,-650.2130737304688
1579534475.351371,1110400,-271.66925048828125
1579534476.5780158,1113600,-412.5035705566406
1579534477.169819,1115200,-1492.58935546875
1579534477.169986,1115200,-1492.58935546875
1579534478.3339162,1118400,-286.07354736328125
1579534478.3340788,1118400,-283.29718017578125
1579534478.9493558,1120000,-265.10235595703125
1579534479.53435,1121600,-543.3421630859375
1579534480.1244385,1123200,-127.08779907226562
1579534480.6895716,1124800,-415.00274658203125
1579534481.3054116,1126400,-270.2865905761719
1579534483.61168,1132800,-1528.3660888671875
1579534483.6118255,1132800,-1513.8709716796875
1579534484.1748083,1134400,-1215.4422607421875
1579534484.7240076,1136000,-0.3880328834056854
1579534488.1939402,1145600,-273.5965881347656
1579534488.194248,1145600,-275.5174865722656
1579534489.3068986,1148800,-427.56500244140625
1579534490.4706085,1152000,-139.9173126220703
1579534492.1661482,1156800,-1208.22265625
1579534492.1664464,1156800,-1208.6307373046875
