Wall time,Step,Value
1579530324.6689174,4800,-1195.2635498046875
1579530325.2211192,6400,-897.2735595703125
1579530326.3184924,9600,-1291.9383544921875
1579530326.3186727,9600,-1242.0875244140625
1579530326.3189087,9600,-1264.920166015625
1579530327.4374208,12800,-1232.867919921875
1579530327.9972467,14400,-1523.834716796875
1579530328.5708625,16000,-1429.982421875
1579530329.6785955,19200,-1434.737060546875
1579530330.7785022,22400,-1347.936279296875
1579530331.8976004,25600,-1165.9349365234375
1579530334.105495,32000,-1297.533935546875
1579530334.1057518,32000,-1526.884765625
1579530334.66171,33600,-1464.741455078125
1579530335.7745166,36800,-1354.4051513671875
1579530336.3301237,38400,-1436.5804443359375
1579530339.1657078,46400,-1621.9061279296875
1579530339.7093241,48000,-1537.4732666015625
1579530340.8166316,51200,-1296.314453125
1579530340.8170693,51200,-1581.12646484375
1579530341.353534,52800,-1577.589599609375
1579530341.9072797,54400,-1123.01171875
1579530342.4510856,56000,-1093.703369140625
1579530344.6745791,62400,-1371.18115234375
1579530344.6747472,62400,-1437.683349609375
1579530345.232069,64000,-1378.346435546875
1579530346.8979213,68800,-1567.5838623046875
1579530347.4526849,70400,-1532.741943359375
1579530348.578179,73600,-1569.070556640625
1579530352.4408174,84800,-1486.11181640625
1579530352.4409075,84800,-1480.54638671875
1579530353.5507276,88000,-1676.196533203125
1579530354.1208792,89600,-1610.1602783203125
1579530354.121137,89600,-1585.8828125
1579530355.222447,92800,-1770.5667724609375
1579530355.2227108,92800,-1711.5177001953125
1579530355.7806942,94400,-1698.012939453125
1579530356.3354855,96000,-1597.349365234375
1579530357.4396412,99200,-1530.4892578125
1579530359.092146,104000,-1727.171630859375
1579530360.20192,107200,-1602.9736328125
1579530360.7521505,108800,-1772.37353515625
1579530362.4230514,113600,-1522.257568359375
1579530362.9575124,115200,-1579.0572509765625
1579530363.5209758,116800,-1643.320556640625
1579530364.0709372,118400,-1791.592041015625
1579530364.071029,118400,-1796.8682861328125
1579530366.2848308,124800,-1700.2808837890625
1579530366.285006,124800,-1689.29443359375
1579530367.4134116,128000,-1644.55908203125
1579530367.949934,129600,-1671.3541259765625
1579530367.950041,129600,-1645.6541748046875
1579530367.9502442,129600,-1665.3651123046875
1579530367.9505403,129600,-1704.769287109375
1579530368.501568,131200,-1483.1695556640625
1579530369.0554225,132800,-1538.1441650390625
1579530369.6141298,134400,-1463.3829345703125
1579530372.9410734,144000,-1674.5499267578125
1579530373.4955933,145600,-1562.117919921875
1579530374.0473225,147200,-1566.884521484375
1579530374.6136272,148800,-1411.810546875
1579530375.7454057,152000,-1585.60986328125
1579530375.7458022,152000,-1606.5191650390625
1579530376.3056269,153600,-1570.2935791015625
1579530376.8756912,155200,-1547.2860107421875
1579530376.8758733,155200,-1564.396240234375
1579530376.8760452,155200,-1553.5267333984375
1579530377.427494,156800,-1501.245361328125
1579530377.9806006,158400,-1578.0240478515625
1579530377.9808097,158400,-1568.116455078125
1579530378.539042,160000,-1513.608154296875
1579530378.5392725,160000,-1509.6253662109375
1579530378.5396676,160000,-1493.7899169921875
1579530379.0800843,161600,-1545.5443115234375
1579530379.630342,163200,-1495.6246337890625
1579530379.6304483,163200,-1486.365966796875
1579530381.2946973,168000,-1486.1622314453125
1579530381.2950895,168000,-1499.15478515625
1579530383.496159,174400,-1465.2825927734375
1579530384.0511656,176000,-1507.1890869140625
1579530384.5961459,177600,-1371.1787109375
1579530385.723364,180800,-1485.336669921875
1579530385.7237394,180800,-1485.693603515625
1579530386.261783,182400,-1489.877197265625
1579530386.2619374,182400,-1490.2698974609375
1579530386.8137681,184000,-1451.3485107421875
1579530387.9246037,187200,-1469.1807861328125
1579530387.9247024,187200,-1463.829833984375
1579530388.502254,188800,-1503.5205078125
1579530389.0536127,190400,-1348.5216064453125
1579530389.6275582,192000,-1454.0921630859375
1579530390.185435,193600,-1467.84326171875
1579530390.7321072,195200,-1494.4591064453125
1579530390.7322361,195200,-1497.9530029296875
1579530391.280518,196800,-1311.7781982421875
1579530391.2806118,196800,-1331.491455078125
1579530391.8349917,198400,-1345.7752685546875
