Wall time,Step,Value
1579531024.8287826,4800,-1021.9856567382812
1579531025.3732517,6400,-2.3999457359313965
1579531026.4828594,9600,-386.2033386230469
1579531026.4831247,9600,-128.0266876220703
1579531026.4834728,9600,-125.80965423583984
1579531027.6109312,12800,-128.455078125
1579531028.1580255,14400,-1.5595215559005737
1579531028.724007,16000,-120.57054138183594
1579531029.8354793,19200,-623.68115234375
1579531030.9528632,22400,-367.5461120605469
1579531032.045177,25600,-382.4455261230469
1579531034.2629569,32000,-251.7593994140625
1579531034.2631617,32000,-514.0140991210938
1579531034.8164644,33600,-398.89837646484375
1579531035.9221177,36800,-778.9180297851562
1579531036.4948442,38400,-498.8695983886719
1579531039.2677135,46400,-251.95347595214844
1579531039.824169,48000,-512.8828735351562
1579531040.9368947,51200,-493.3786926269531
1579531040.937356,51200,-503.6571044921875
1579531041.4942853,52800,-631.0011596679688
1579531042.0565436,54400,-692.9365234375
1579531042.6137667,56000,-463.5154113769531
1579531044.8299854,62400,-126.32503509521484
1579531044.830185,62400,-126.14730072021484
1579531045.3910158,64000,-135.68246459960938
1579531047.0531154,68800,-500.63812255859375
1579531047.61187,70400,-617.7614135742188
1579531048.711883,73600,-519.4598388671875
1579531052.6122105,84800,-247.89669799804688
1579531052.612309,84800,-374.6915588378906
1579531053.7182226,88000,-119.45089721679688
1579531054.2824075,89600,-647.554443359375
1579531054.2826192,89600,-614.683837890625
1579531055.3914073,92800,-126.02954864501953
1579531055.3916664,92800,-125.96633911132812
1579531055.94243,94400,-381.861083984375
1579531056.4838178,96000,-361.66839599609375
1579531057.586748,99200,-5.475009441375732
1579531059.2451403,104000,-264.9438171386719
1579531060.35937,107200,-383.9866943359375
1579531060.930102,108800,-380.1014404296875
1579531062.5870821,113600,-672.5264892578125
1579531063.130301,115200,-411.56121826171875
1579531063.6769938,116800,-120.30146026611328
1579531064.2245667,118400,-461.5473937988281
1579531064.224659,118400,-471.28057861328125
1579531066.4366498,124800,-115.3419189453125
1579531066.4368217,124800,-115.3377685546875
1579531067.5455172,128000,-3.0742549896240234
1579531068.087438,129600,-904.8145141601562
1579531068.0875227,129600,-128.34893798828125
1579531068.087684,129600,-779.1785888671875
1579531068.087917,129600,-909.29638671875
1579531068.6478703,131200,-912.18994140625
1579531069.1957521,132800,-369.0176086425781
1579531069.7370598,134400,-257.1653137207031
1579531073.0402782,144000,-375.5390319824219
1579531073.5929751,145600,-244.9662322998047
1579531074.145675,147200,-439.1893615722656
1579531074.705578,148800,-3.7072060108184814
1579531075.8139884,152000,-254.94451904296875
1579531075.8144405,152000,-128.52333068847656
1579531076.372251,153600,-10.265779495239258
1579531076.9353728,155200,-397.8307189941406
1579531076.9355533,155200,-393.123046875
1579531076.9357212,155200,-266.4972229003906
1579531077.4839714,156800,-532.6599731445312
1579531078.0335412,158400,-253.06065368652344
1579531078.0337365,158400,-786.1638793945312
1579531078.6028032,160000,-249.82302856445312
1579531078.6030378,160000,-247.6895294189453
1579531078.6034386,160000,-253.06532287597656
1579531079.1772423,161600,-134.1796417236328
1579531079.7238274,163200,-1136.535888671875
1579531079.7239368,163200,-441.7218017578125
1579531081.380189,168000,-255.7825927734375
1579531081.3805907,168000,-262.2138366699219
1579531083.5884628,174400,-645.4281005859375
1579531084.1497009,176000,-848.4025268554688
1579531084.694637,177600,-533.5720825195312
1579531085.7896948,180800,-396.7408752441406
1579531085.7900848,180800,-810.7666625976562
1579531086.340425,182400,-526.45751953125
1579531086.3406103,182400,-269.2162170410156
1579531086.8861527,184000,-362.74578857421875
1579531088.007713,187200,-270.4847717285156
1579531088.0078003,187200,-391.6881408691406
1579531088.5658584,188800,-131.1254425048828
1579531089.107271,190400,-1081.6895751953125
1579531089.6642363,192000,-1035.6722412109375
1579531090.2265587,193600,-127.57518005371094
1579531090.7710366,195200,-866.4034423828125
1579531090.7711153,195200,-652.24658203125
1579531091.3369687,196800,-366.8714904785156
1579531091.3370614,196800,-367.0175476074219
1579531091.901053,198400,-374.27191162109375
1579531093.0311608,201600,-539.0346069335938
1579531093.0314302,201600,-533.4422607421875
1579531093.5969636,203200,-259.2771301269531
1579531095.7952332,209600,-126.52449798583984
1579531096.9141364,212800,-134.1814727783203
1579531096.9147139,212800,-135.55723571777344
1579531097.469244,214400,-130.92572021484375
1579531097.4694433,214400,-131.89028930664062
1579531098.0151296,216000,-11.374524116516113
1579531098.0156293,216000,-11.548688888549805
1579531098.5799003,217600,-380.2284240722656
1579531099.1476731,219200,-127.85456085205078
1579531099.6922443,220800,-508.6620788574219
1579531100.2495992,222400,-127.78897857666016
1579531100.8058426,224000,-133.87826538085938
1579531103.5962448,232000,-900.4131469726562
1579531104.1637883,233600,-8.041959762573242
1579531104.1638856,233600,-8.150456428527832
1579531104.1639702,233600,-8.257430076599121
1579531105.2584262,236800,-267.1315002441406
1579531106.3613043,240000,-274.5003662109375
1579531106.9058554,241600,-261.1197204589844
1579531109.1371198,248000,-518.3328857421875
1579531109.7041636,249600,-263.3432312011719
1579531110.279479,251200,-10.455888748168945
1579531110.831507,252800,-383.7821960449219
1579531110.8317916,252800,-386.85858154296875
1579531112.4724462,257600,-405.52337646484375
1579531112.4730825,257600,-411.31927490234375
1579531113.017413,259200,-897.4108276367188
1579531113.5606115,260800,-801.6270141601562
1579531114.6533275,264000,-127.37982940673828
1579531114.6536012,264000,-126.98221588134766
1579531115.770533,267200,-917.2216796875
1579531115.770752,267200,-966.208984375
1579531116.3228686,268800,-4.578965187072754
1579531116.3229973,268800,-4.778387069702148
1579531119.6565118,278400,-2.037986993789673
1579531119.6567423,278400,-2.1676909923553467
1579531119.6569643,278400,-2.007960081100464
1579531120.2221727,280000,-903.553466796875
1579531121.342547,283200,-2.6910488605499268
1579531122.456443,286400,-1079.3709716796875
1579531123.024345,288000,-133.6636962890625
1579531123.589619,289600,-863.3159790039062
1579531125.262913,294400,-1.4183640480041504
1579531125.2630398,294400,-1.4071381092071533
1579531125.8006346,296000,-253.0693817138672
1579531126.3521621,297600,-254.5867919921875
1579531126.8969033,299200,-247.32554626464844
1579531126.8970854,299200,-244.0849609375
1579531129.0956995,305600,-249.69850158691406
1579531129.0961099,305600,-249.48158264160156
1579531131.3142252,312000,-0.7423500418663025
1579531132.4119062,315200,-132.145263671875
1579531132.4120271,315200,-660.1327514648438
1579531133.5161014,318400,-259.22906494140625
1579531133.5165684,318400,-260.45733642578125
1579531134.634467,321600,-265.2658386230469
1579531134.6345515,321600,-806.48876953125
1579531136.2737198,326400,-860.8248901367188
1579531136.8204088,328000,-1.5536898374557495
