Wall time,Step,Value
1579532248.930295,192000,-1536.5750732421875
1579532249.4819093,193600,-1624.48974609375
1579532250.0467057,195200,-1581.8057861328125
1579532250.0468163,195200,-1584.5936279296875
1579532250.6108725,196800,-1490.3028564453125
1579532250.610956,196800,-1403.233642578125
1579532251.1813703,198400,-1495.125
1579532252.2866838,201600,-1185.025634765625
1579532252.2869465,201600,-1269.9951171875
1579532252.8363566,203200,-1237.2186279296875
1579532255.0495205,209600,-1276.88623046875
1579532256.1636364,212800,-975.7193603515625
1579532256.1642146,212800,-828.0873413085938
1579532256.7105706,214400,-664.2617797851562
1579532256.7107558,214400,-793.8450317382812
1579532257.25842,216000,-988.2854614257812
1579532257.259052,216000,-799.8080444335938
1579532257.8246832,217600,-1087.40283203125
1579532258.3723793,219200,-1400.5689697265625
1579532258.9145598,220800,-1209.9903564453125
1579532259.4601283,222400,-1256.48193359375
1579532260.0055208,224000,-1385.7071533203125
1579532262.7734065,232000,-1379.100341796875
1579532263.3186238,233600,-1439.621337890625
1579532263.3187635,233600,-1275.9483642578125
1579532263.31889,233600,-1521.3155517578125
1579532264.4421666,236800,-1426.635009765625
1579532265.558781,240000,-1548.7822265625
1579532266.1076467,241600,-1401.7679443359375
1579532268.357469,248000,-1235.1851806640625
1579532268.913694,249600,-1102.711181640625
1579532269.4749007,251200,-1025.65234375
1579532270.0222328,252800,-660.5857543945312
1579532270.022488,252800,-764.3123168945312
1579532271.7179213,257600,-1112.8114013671875
1579532271.718452,257600,-1241.5543212890625
1579532272.2850122,259200,-1406.005126953125
1579532272.855735,260800,-1173.3154296875
1579532273.971039,264000,-1246.247314453125
1579532273.9712903,264000,-1090.1748046875
1579532275.0794206,267200,-1270.3646240234375
1579532275.0796733,267200,-1386.2452392578125
1579532275.6222222,268800,-1381.5081787109375
1579532275.6223297,268800,-1374.650146484375
1579532278.9619918,278400,-1166.3602294921875
1579532278.9622557,278400,-1129.284423828125
1579532278.9625075,278400,-1252.470703125
1579532279.5181696,280000,-1103.4803466796875
1579532280.6310036,283200,-1463.171630859375
1579532281.7307808,286400,-1361.72998046875
1579532282.292443,288000,-789.5809936523438
1579532282.8316865,289600,-1073.4898681640625
1579532284.5387025,294400,-1212.8375244140625
1579532284.538811,294400,-1139.7808837890625
1579532285.0927505,296000,-1364.767822265625
1579532285.6360998,297600,-1472.1173095703125
1579532286.2101824,299200,-1261.355712890625
1579532286.2103522,299200,-957.25048828125
1579532288.4368598,305600,-1352.5863037109375
1579532288.4371967,305600,-1327.5703125
1579532290.6415844,312000,-1322.3267822265625
1579532291.7220702,315200,-1284.648193359375
1579532291.7221813,315200,-1276.2801513671875
1579532292.8571815,318400,-874.3065185546875
1579532292.857555,318400,-984.039794921875
1579532293.986675,321600,-1291.295654296875
1579532293.9867601,321600,-1039.70263671875
1579532295.6868892,326400,-788.2901000976562
1579532296.2535377,328000,-1103.6234130859375
1579532296.253999,328000,-1208.3358154296875
1579532296.801449,329600,-1087.5457763671875
1579532296.8019261,329600,-1015.6776123046875
1579532297.361898,331200,-889.606689453125
1579532297.930203,332800,-664.8900146484375
1579532298.473816,334400,-673.4423828125
1579532299.0185132,336000,-549.5172119140625
1579532299.5711477,337600,-781.3637084960938
1579532300.1125333,339200,-1234.12109375
1579532300.1129096,339200,-1221.868896484375
1579532300.6657898,340800,-1231.8765869140625
1579532300.6660316,340800,-1235.5130615234375
1579532300.666376,340800,-1356.552001953125
1579532301.2226782,342400,-1478.7596435546875
1579532301.7846951,344000,-1388.1204833984375
1579532302.8703847,347200,-1448.461181640625
1579532302.8707473,347200,-1385.4241943359375
1579532302.8709116,347200,-1434.2327880859375
1579532303.4224353,348800,-983.5357055664062
1579532303.4228547,348800,-1262.0628662109375
1579532303.979597,350400,-1341.0284423828125
1579532303.9796886,350400,-1239.6324462890625
1579532305.1146965,353600,-841.6949462890625
1579532305.6652002,355200,-1286.4632568359375
